STUDENTID,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22
174,1,1,1,1,1,1,1,6,6,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1
175,2,3,2,2,2,2,2,2,1,3,3,3,3,3,3,4,4,4,4,3,4,4,4,3,6,2,2,2,2,2,2,5,1,1,1,1,1,1,2,1,1,1,1,1,2,2
177,4,2,3,2,3,4,3,5,4,5,3,4.06,4.59,4,5,4,2,4,3,3,4,3,4.93,5,6,3,3,2,4,4,3,6,1,1,1,1,1,1,3,1,1,1,1,1,1,5
178,4,4,4,4,4,4,4,4,3,3,3,3,4,3,3,5,5,4,4,4,5,5,5,3,6,2,2,2,1,1,2,6,1,1,1,1,1,1,1,2,1,1,1,1,1,1
181,3,3,1,2.3,3.11,6,4,3,1,5,1,5,1,4,4.51,4,5,3,5,5,5,2,5,5,4.92,2,4,3,5,2,4,4,3,3,4,2,4,2,5,2,3,2,4,1.43,5,3
182,6,6,4,1,1,3,1,1,6,6,6,5,5,6,6,3,3,3,3,4,3,3,3,4,6,1,1,1,1,1,1,6,1,1,2,2,1,1,1,1,1,2,1,1,1,1
183,3,1,4,3,1,4,1,1,5,3,3.22,5,1,6,6,6,6,6,5,3,5,4,6,6,6,1,1,5,2,2.87,5,5,1,3,4,2,3,1,1,1,2,1,1,1,2,2
184,3,3,3,4,4,5,5,5,3,3,3,3,4,4,5,1,5,3,5,3,5,6,6,2,5,1,1,2,2,2,1,5,1,1,1,2,2,2,1,1,2,2,2,2,2,1
186,3,5,2,2,5,2,2,5,5,5,6,5,6,6,6,6,6,6,6,4,6,5,6,5,4,1,1,4,4,2,2,3,1,1,1,1,1,1,2,1,1,1,1,1,2,2
188,4,4,4,3,5,4,4,3,3,4,4,4.06,3,3,2,5,4,3,2,5,3,4,3,2,5,2,2,2,3,3,2,6,3,3,4,3,4,3,4,3,3,4,4,4,3,3
190,3,3,4,1,2,2,3,2,2,5,5,3,5,4,3,5,3,6,5,3,2,5,2,3,4,5,2,3,4,2,5,5,1,1,1,1,1,1,1,3,1,1,4,1,5,4
191,1,2,1,1,2,1,1,1,2,6,6,6,6,6,6,6,6,6,6,1,6,5,6,6,6,5,5,5,5,3,1,5,1,1,2,1,2,1,2,2,1,1,1,2,3,3
193,4,4,3,5,5,5,3,3,5,3,4,3,4,3,2,4,3,4,4,3,3,5,5,3,5,3,2,1,1,1,3,6,1,2,2,1,2,1,1,1,1,4,1,1,1,2
196,1,1,1,1,2,1,1,1,1,6,1,6,6,6,6,1,6,6,6,6,5,3,6,6,6,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,4,4,1,2,1
198,3,3,4,3,4,4,4,3,3,3,3,3,4,4,4,4,4,3,3,4,4,4,4,3,3,2,3,2,2,2,2,5,4,4,3,3,2,2,3,3,1.34,4,4,3,3,3
1,4,2,3,3,3,6,5,4,2,5,5,6,1,6,6,4,5,4,2,3,3,5,2,3,6,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1
201,3.02,1,3.09,1,1,2.93,1,1,6,6,6,6,6,6,6,1,1,6,6,1,4,6,6,1,6,1,1,5,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,4,1
202,5,5,6,1,6,5,4,1,6,2,6,2,6,6,2,6,6,6,6,1,5,5,5,6,6,1,1,1,1,1,1,6,1,1,2,1,1,1,1,1,1,4,4,1,1,1
203,3,2,4,2,2,2,1,1,1,4,3,4,6,6,4,6,5,6,6,4,3,5,6,4,6,2.85,2.79,3,3,3,1,6,1,1,1,1,1,1,3,3,2,1.97,3,3,2,2
204,2,3,2,1,3,2,1,2,1,4,2,4,5,6,5,2,4,5,5,4,4,5,5,4,6,4,1,1,5,3,1,6,1,3,1,1,1,1,1,5,1,2,5,5,1,2
206,2,2,2,1,2,2,1,2,2,5,4,3,4.59,3,4,5,5,4,4,5,4,4,3,2,6,4,4,4,4,4,4,2,1,1,4,1,1,2,1,1,1,1,1,1,3,3
209,4,3,3,3,3,2,3,4,3,4,3,3,3,4,4,3,3,4,4,4,4,4,3,4,6,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,2,1,2,2
210,3,2,3,4,3,2,2,2,4,5,5,4.06,4,6,6,3,6,3,5,3,1,5,6,3,6,1,1,1,3,1,1,6,1,1,1,1,1,1,1,2,1,1,1,1,1,1
211,1,1,1,2,1,2,2,2,2,1,1,5,1,1,1,6,6,6,6,1,6,6,6,1,6,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,2,1,1,1,3
212,6,1,1,1,1,1,1,1,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1
213,6,3,4,2,1,5,2,4,4,1,6,4,2,5,3,5.05,3,1,2,3,3,5,6,4,6,2.85,3,5,2,4,2,4,1,2,3,4,5,2,4,1,3,4,2,5,2,3
214,1,1,1,1,1,1,1,1,1,3.47,2,5,5,5,4.51,5,5,5,5,2,5,5,5,3.94,4.92,2.85,2.79,3.01,2.43,2.87,2.71,4.76,1,1,1,1,1,1,1,1.6,1,1,1,1,1,2.32
215,4,4,4,3,3,2,1,2,4,3,4,5,2,6,6,6,6,6,6,5,3,2,2,4,5,3,4,4,3,3,4,6,1,2,2,2,1,1,3,2,3,1,2,1,2.37,3
216,3,4,2,1,4,4,1,4,4,3,3,5,3,3,1,6,3,6,6,4,5,5,5,4,4.92,1,1,1,1,1,1,6,1,1,1,1,1,1,1,2,1,1,1,1,2,2
218,3,2,3,1,2,3,2,2,1,4,3,4,4,5,3,5,4,5,5,2,3,5,5,2,6,2,2,2,1,2,1,6,1,2,1,1,1,1,1,2,1,2,2,2,2,1
219,5,2,3,1,3,3,2,4,5,4,3,6,5,6,6,6,2,6,6,1,5,4,3,2,6,5,3,1,2,3,3,3,1,1,2,5,1,1,5,2,2,1,2,1,2,4
220,1,1,1,1,1,1,1,1,1,3,1,6,6,4,5,6,6,6,6,3,6,6,6,6,4,2,4,5,5,5,4,2,1,1,2,2,1,1,2,1,2,2,1,5,5,5
222,3,3,4,3,3,2,2,2,1,2,1,5,3,4,3,6,4,5,5,2,5,5,5,2,6,4,4,1,1,3,5,2,1,1,1,1,1,1,1,5,2,1,1,1,1,1
223,1,1,1,1,1,1,1,1,6,6,1,6,4,6,6,6,6,6,6,6,6,6,6,5,6,4,4,4,5,3,4,5,1,2,1,1,1,1,1,1,1,4,5,1,3,2
224,4,5,5,5,5,4,5,5,1,3,4,3,2,4,4,5,5,3,4,3,4,5,5,4,6,4,3,2,1,1,2,4,3,3,3,4,4,4,4,3,2,3,4,1,2,1
226,1,4,1,1,2,2,1,2,2,6,5,6,6,6,5,6,6,6,6,5,6,6,6,6,6,2,2,1,2,2,2,5,1,2,3,2,1,2,2,1,2,1,1,1,2,1
